CUSTOMER_NUMBER,AFM,CUSTOMER_NAME,PHONE,EMAIL,CARD,AGE
1,674605872,Sayre Tame,4919508915,stame0@youtube.com,30324183358025,25
2,667760908,Georgeta Butterfield,3054646919,gbutterfield1@netvibes.com,5602239060699003872,25
3,295272729,Butch Blackborn,5469858833,bblackborn2@joomla.org,3561805641516767,31
4,560599506,Hamid Gredden,9376788070,hgredden3@unc.edu,4903853875736202304,43
5,215259507,Terrye Leyden,6098444034,tleyden4@sfgate.com,630463273571332961,52
6,245401203,Meg Killerby,9867926443,mkillerby5@umn.edu,6771694734567479477,64
7,466690005,Dionysus Breit,5128866013,dbreit6@tinypic.com,633393718075090761,27
8,389572651,Etty Laboune,9889745147,elaboune7@irs.gov,201456543484555,28
9,510184546,Beverlie Brixey,9384561002,bbrixey8@biglobe.ne.jp,3577823322577703,29
10,321532083,Willette O'Suaird,6895661091,wosuaird9@odnoklassniki.ru,3550738359209072,20
11,796828825,Reuven Davenall,9314757337,rdavenalla@live.com,3576733945353369,21
12,151182552,Deane Moreside,5468892603,dmoresideb@furl.net,5100176801983095,22
13,101541618,Dean Carvilla,4203120645,dcarvillac@jimdo.com,3589245561586607,23
14,469195726,Gloriane Renihan,1138282784,grenihand@posterous.com,201674583448468,24
15,580747567,Kattie Merrill,6179559427,kmerrille@scribd.com,3574862255318175,25
16,545111000,Aime Twelftree,6934247305,atwelftreef@smh.com.au,30385094083390,36
17,747547573,Brew Kitson,8172275532,bkitsong@google.com.hk,63042038640485361,37
18,545958299,Candi Guierre,1866681368,cguierreh@xrea.com,3579226961916794,38
19,218501302,Kayne Inglesent,4762696301,kinglesenti@eventbrite.com,4041370431983105,19
20,302140346,Aubrette Honeyghan,4904988653,ahoneyghanj@arizona.edu,30495673277519,20
21,244981486,Ashby Lamprey,7977108176,alampreyk@indiatimes.com,3535507048714416,21
22,661520761,Nicoli Houseley,3557304848,nhouseleyl@disqus.com,3559867060562130,22
23,124238116,Meade Rikkard,8313124847,mrikkardm@facebook.com,5641827302141452,23
24,828543020,Toiboid Locksley,6533287734,tlocksleyn@elpais.com,3528820585572330,24
25,251047397,Fae Mosedale,4264223016,fmosedaleo@businesswire.com,3583255616845979,25
